date,set_name,Near Mint
2024-12-30 00:00:00+00:00,SV08: Surging Sparks,1494.68
2024-12-31 00:00:00+00:00,SV08: Surging Sparks,1494.68
2025-01-01 00:00:00+00:00,SV08: Surging Sparks,1494.68
2025-01-02 00:00:00+00:00,SV08: Surging Sparks,1494.68
2025-01-03 00:00:00+00:00,SV08: Surging Sparks,1494.68
2025-01-04 00:00:00+00:00,SV08: Surging Sparks,1494.68
2025-01-05 00:00:00+00:00,SV08: Surging Sparks,1494.68
2025-01-06 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-07 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-08 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-09 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-10 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-11 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-12 00:00:00+00:00,SV08: Surging Sparks,1485.9
2025-01-13 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-14 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-15 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-16 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-17 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-18 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-19 00:00:00+00:00,SV08: Surging Sparks,1541.29
2025-01-20 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-21 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-22 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-23 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-24 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-25 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-26 00:00:00+00:00,SV08: Surging Sparks,1564.22
2025-01-27 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-01-28 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-01-29 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-01-30 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-01-31 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-02-01 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-02-02 00:00:00+00:00,SV08: Surging Sparks,1533.87
2025-02-03 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-04 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-05 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-06 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-07 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-08 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-09 00:00:00+00:00,SV08: Surging Sparks,1562.08
2025-02-10 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-11 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-12 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-13 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-14 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-15 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-16 00:00:00+00:00,SV08: Surging Sparks,1571.76
2025-02-17 00:00:00+00:00,SV08: Surging Sparks,1616.67
2025-02-18 00:00:00+00:00,SV08: Surging Sparks,1616.67
2025-02-19 00:00:00+00:00,SV08: Surging Sparks,1616.67
